group,summary_features,validation_auprc,validation_auroc
MAP,5,0.3969581741689158,0.779549025769956
MAP+basic,25,0.2519495855270434,0.764776869893149
MAP+BIS,30,0.28020244345272305,0.751480201131364
MAP+remifentanil,15,0.4308124722094688,0.7919830295411692
MAP+basic+BIS+remifentanil,60,0.22742634703210735,0.7624921433060968
